Name,Buy,Sell,Found Buy Prices,Found Sell Prices
haunted jack o' lantern,N/A,301.54,N/A,"[220, 440, 460, 310, 300, 2, 2, 420, 283, 283, 440, 310, 450]"
headsman's hood,N/A,10.0,N/A,[10]
heart antennae hat,N/A,N/A,N/A,N/A
heartking's crown,N/A,1.82,N/A,"[2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 3, 2, 3, 1, 2, 2, 2]"
heartqueen's crown,N/A,1.0,N/A,"[1, 1, 1, 1, 1, 1, 1]"
heartthrob helm,N/A,2.41,N/A,"[3, 3, 2, 2, 3, 2, 2, 2, 2, 3, 3, 3, 1, 3, 3, 3, 1, 2, 3, 3, 3, 1]"
hellfire horns (disambiguation),N/A,N/A,N/A,N/A
hellfire horns - black,28.67,2983.33,"[26, 26, 34]","[2780, 3050, 3050, 3100, 2960, 2960]"
hellfire horns - blue,N/A,3442.33,N/A,"[52, 5075, 5200]"
hellfire horns - orange,1439.0,1618.57,"[28, 2850]","[40, 44, 4150, 32, 3500, 39, 3525]"
hellfire horns - ruby,N/A,N/A,N/A,N/A
helmet of darkness,31.25,37.08,"[37, 30, 28, 30]","[45, 40, 35, 30, 31, 35, 40, 35, 37, 30, 45, 38, 35, 35, 45, 30, 45, 45, 35, 30, 31, 30, 35, 28, 45, 35, 45, 30, 30, 40, 40, 45, 45, 50, 30, 35]"
hermit crab helmet,N/A,88.64,N/A,"[80, 80, 90, 100, 80, 90, 100, 80, 100, 80, 95]"
horn headband,680.0,709.82,"[680, 670, 685, 680, 670, 725, 660, 670, 670, 660, 700, 670, 690, 690]","[710, 725, 740, 730, 720, 740, 740, 675, 680, 710, 700, 700, 710, 660, 710, 730, 695, 720, 740, 715, 715, 705, 715, 720, 730, 700, 750, 720, 750, 700, 680, 705, 730, 700, 720, 690, 690, 690, 750, 730, 690, 725, 720, 675, 700, 720, 675, 640, 720, 720, 740, 710, 730, 750, 680, 700, 700, 730, 710, 685, 675, 730, 675, 700, 690, 690, 670, 725, 730, 690, 690, 725, 725, 750, 720, 700, 700, 700, 750, 720, 700, 690]"
horns of growganoth,N/A,3340.6,N/A,"[195, 2, 190, 190, 16180, 188, 183, 160, 15920, 198]"
horns of infinity,921.3,1348.42,"[11, 16, 1480, 1100, 1240, 16, 1220, 1500, 1240, 11, 1650, 1650, 11, 1090, 1060, 1050, 1250, 1550, 1270, 11]","[1430, 1430, 1360, 1410, 1305, 1160, 1600, 1140, 1265, 1150, 1650, 1570, 1380, 1490, 1490, 1220, 1120, 1150, 1510, 1460, 1460, 1200, 1670, 1260, 1600, 1660, 1230, 1230, 1260, 1140, 1230, 1530, 1490, 1490, 1640, 1510, 1410, 1530, 1520, 1145, 1285, 1500, 1500, 1645, 1130, 1500, 1160, 1160, 1400, 1545, 1265, 1460, 1460, 1510, 1115, 1220, 1550, 1560, 1445, 1140, 1145, 1480, 1480, 1205, 1570, 1235, 1545, 1470, 1250, 1150, 1150, 1185, 1185, 1215, 1670, 1530, 1215, 1215, 1370, 1130, 1350, 1270, 1140, 1150, 1150, 1150, 1470, 1280, 1600, 1500, 1230, 1320, 1235, 1235, 1120, 1120, 1265, 1120]"
hot cross bun beret,50.0,76.11,"[65, 30, 45, 60]","[85, 60, 60, 80, 60, 70, 90, 60, 120]"
howling pineapple crown,325.0,337.96,[325],"[325, 355, 340, 290, 350, 330, 330, 350, 360, 340, 340, 330, 330, 345, 350, 365, 340, 350, 330, 320, 360, 360, 325, 325, 360, 350, 300, 300, 380, 380, 330, 340, 300, 360, 350, 360, 315, 350, 320, 320, 350, 300, 340, 350, 340, 300, 300, 320, 350, 300, 320, 345, 390, 390]"
howly hat,6.52,16.0,"[12, 0.1, 7, 7]","[15, 15, 15, 20, 15]"
indonesian headdress,N/A,88.0,N/A,"[65, 55, 65, 200, 55]"
infinity crown,N/A,N/A,N/A,N/A
irish top hat,7.0,N/A,"[6, 8]",N/A
item of the month/2020,N/A,N/A,N/A,N/A
jack's hat,N/A,N/A,N/A,N/A
jester's cap,15.0,12.45,[15],"[10, 9, 12, 14, 13, 14, 20, 1, 9, 10, 25]"
jiangshi hat,N/A,17.17,N/A,"[0.5, 50, 1]"
kamishimo hat,N/A,2.0,N/A,"[2, 2, 2, 2, 2, 2, 2]"
killer doctor's cap,N/A,N/A,N/A,N/A
knight helmet,N/A,48.74,N/A,"[0.2, 0.2, 64, 80, 65, 4, 80, 70, 70, 73, 70, 0.2, 70, 70, 4, 4, 70, 57, 65, 0.2, 75, 65, 75, 0.2, 65, 75, 70, 85, 0.2, 4, 65, 85, 75, 60, 75, 85, 4, 65, 0.2, 0.2, 75, 75, 0.2]"
knight's great helm - golden,7.0,11.67,[7],"[5, 15, 15]"
knight's helm - antlers,N/A,N/A,N/A,N/A
knight's helm - crusader,N/A,5.0,N/A,"[5, 5]"
koala ears,74.0,90.67,"[90, 55, 65, 80, 60, 85, 70, 55, 70, 60, 75, 85, 95, 90, 85, 50, 80, 55, 80, 95]","[60, 100, 90, 85, 95, 60, 120, 120, 95, 60, 100, 100, 90, 85, 95, 90, 93, 93, 80, 60, 100, 83, 95, 100, 100, 90, 95, 95, 65, 65, 90, 90, 97, 100, 90, 95, 65, 105, 90, 100, 85, 90, 90, 90, 95, 90, 110, 95, 100, 60, 120, 130, 95, 70, 95, 85, 87]"
kuma-boshi,N/A,N/A,N/A,N/A
leprechaun hat,N/A,N/A,N/A,N/A
light up antlers,8.0,13.06,[8],"[15, 15, 11, 5, 20, 20, 11, 10, 10, 12, 9, 10, 12, 15, 20, 12, 10, 11, 20, 11, 15, 15, 10, 10, 10, 15, 9, 10, 10, 10, 10, 15, 19, 13, 20, 20]"
lightning horns,200.88,215.64,"[190, 185, 320, 150, 165, 175, 170, 160, 180, 165, 270, 170, 200, 250, 230, 255, 180]","[190, 190, 315, 200, 187, 240, 180, 170, 185, 300, 315, 175, 180, 190, 190, 185, 185, 185, 205, 205, 205, 215, 185, 170, 170, 330, 170, 170, 175, 198, 325, 170, 185, 355, 340, 180, 340, 200, 185, 185, 195, 360, 185, 175, 330, 330, 220, 205, 195, 195, 240, 190, 190, 170, 185, 180, 190, 190, 360, 180, 190, 180, 200, 160, 5, 345, 345, 177, 177, 190, 190, 185, 350, 180, 185, 175, 295, 185, 180, 180, 180, 250, 170, 200, 160, 220, 250, 300, 170, 320, 185, 400, 180, 185, 185, 175, 175, 190, 200, 230, 170, 172, 172, 200, 200, 180, 325, 195, 185, 260, 220, 220, 275, 164, 315, 180, 205, 180, 325, 190, 190, 160, 160, 160, 340, 350, 190, 190, 210, 300, 300, 180, 345, 220, 185, 360, 220, 330, 180, 180, 180, 195, 175, 299, 190, 190, 300, 168, 168, 310, 190, 190, 160, 250, 180, 250, 370, 178, 335, 185, 190, 190, 5, 250, 180, 400, 195, 310, 257, 280, 195, 163, 185, 185, 220, 330, 250, 170, 170, 230, 180, 175, 185, 180, 180, 320, 180, 177, 330, 350, 170, 170, 185, 222, 170, 170, 180, 180, 185, 360, 385, 325, 325, 220, 3, 370, 3, 3, 305, 220, 180, 180, 175, 185, 194, 170, 180, 180, 200, 200, 2, 330, 185, 190, 170]"
loving halo,137.5,158.29,"[180, 140, 120, 160, 105, 150, 170, 120, 110, 170, 120, 150, 130, 130, 130, 120, 140, 130]","[160, 190, 150, 160, 170, 150, 150, 200, 145, 130, 170, 190, 170, 150, 170, 170, 185, 140, 145, 145, 145, 145, 170, 160, 125, 125, 160, 170, 120, 190, 200, 135, 180, 170, 135, 135, 160, 160, 160, 160, 175, 175, 140, 140, 150, 155, 170, 140, 165, 190, 145, 145, 145, 150, 135, 135, 160, 170, 190, 160, 160, 160, 160, 190, 160, 155, 145, 170, 160, 150, 170, 150, 160, 160, 150, 150]"
lucky lizard hat,N/A,81.0,N/A,"[110, 95, 38]"
lucky pinata hat,30.0,35.0,"[35, 25]","[25, 45, 35]"
mad hatter,98.33,116.59,"[110, 100, 90, 100, 110, 80]","[115, 120, 110, 85, 130, 110, 90, 120, 120, 120, 110, 120, 110, 110, 115, 90, 110, 125, 115, 120, 120, 125, 125, 110, 118, 118, 110, 120, 110, 113, 95, 130, 115, 120, 110, 120, 120, 120, 120, 110, 110, 110, 120, 110, 110, 120, 120, 120, 140, 150, 120, 135, 100, 115, 95, 130, 105, 120, 120, 100, 120, 120, 125, 125, 95, 120, 119, 115, 120, 120, 120, 120, 125, 110, 120, 120, 120, 120, 130, 130, 110, 100, 120, 95, 130, 120, 130, 100, 120, 115, 115, 100, 95, 95, 130, 120, 115, 120, 115, 105, 135, 80, 150, 110, 115, 95, 115, 115, 120, 95, 90, 130, 130, 100, 130, 110, 130, 120, 120, 120, 110, 125, 110, 110, 130, 120, 110, 110, 115, 120, 110, 125, 125, 150, 120, 120, 150, 120, 125, 110, 120, 130, 125, 120, 120, 110, 120]"
mah-kah-ron hat,N/A,N/A,N/A,N/A
mariachi hat,N/A,2.0,N/A,"[2, 2]"
medusa's crown,N/A,400.0,N/A,[400]
"meh, bunny mask",N/A,N/A,N/A,N/A
merlin hat,N/A,28.0,N/A,"[26, 24, 30, 30, 30]"
mighty legend helm,12.0,22.67,[12],"[5, 50, 13]"
monk's hood,N/A,1.5,N/A,"[2, 2, 1, 1, 1, 2, 2, 0.5, 2]"
monkey mask,N/A,12.0,N/A,[12]
monkey warrior's circlet,18.33,24.5,"[20, 15, 20]","[23, 30, 25, 25, 25, 25, 25, 27, 25, 25, 28, 28, 25, 22, 28, 25, 30, 23, 20, 21, 28, 20, 20, 20, 25, 20, 23, 25]"
monster mummy nemes,N/A,22.53,N/A,"[10, 10, 10, 65, 60, 30, 2, 15, 3, 3, 7, 140, 4, 10, 4, 7, 3]"
moon mask,N/A,55.0,N/A,[55]
mooncake hat,N/A,12.29,N/A,"[10, 20, 11, 11, 11, 12, 12, 12, 12, 12, 15, 14, 10, 10]"
moose cap,4.33,8.78,"[3, 3, 5, 5, 6, 4]","[14, 14, 5, 5, 7, 7, 20, 0.14285714285714285, 0.14285714285714285, 12, 5, 25, 20, 10, 10, 11, 5, 7, 15, 15, 13, 13, 6, 10, 5, 5, 10, 11, 7, 5, 20, 7, 6, 7, 13, 5, 6, 6, 7, 0.08333333333333333, 0.08333333333333333, 12, 5, 8, 6, 6, 8, 7, 9]"
mountain cap,12.75,11.81,"[12, 15, 12, 12]","[10, 15, 15, 10, 13, 10, 10, 10, 10, 10, 10, 10, 10, 10, 18, 18, 12, 12, 10, 10, 15, 13, 10, 10, 10, 13, 13, 10, 14, 15, 15, 5, 14, 10, 10, 15]"
mythic tiger crown,127.5,141.6,"[120, 140, 90, 160]","[165, 165, 135, 140, 150, 150, 129, 140, 130, 140, 135, 135, 130, 140, 140, 165, 140, 155, 155, 130, 170, 140, 150, 130, 150, 150, 150, 130, 165, 155, 130, 150, 115, 168, 180, 130, 135, 135, 130, 160, 165, 135, 130, 135, 130, 135, 130, 120, 138, 138, 130, 140, 165, 125, 120, 140, 140, 140, 150, 165, 130, 140, 130, 168, 155, 130, 123, 145, 125, 125, 135, 135, 140, 125, 130, 150, 150, 150, 120, 130, 170, 130, 140, 140, 165, 140, 135, 155, 155, 100, 170, 170, 140, 150, 140, 140, 155, 190, 130, 135, 135, 145, 135, 130, 135, 145, 145, 130, 150, 160, 160, 160, 160, 160, 130, 130, 135, 140, 150, 140, 150, 130, 99, 140, 130, 145, 150, 130, 125, 137, 137, 150, 135, 135, 140, 135, 135, 125, 130]"
neon manta ray,N/A,N/A,N/A,N/A
neptune's crown,N/A,N/A,N/A,N/A
nest hat,415.0,930.0,[415],"[540, 1320]"
nocturnal crown,145.56,149.94,"[110, 140, 155, 170, 170, 160, 120, 120, 165]","[160, 175, 150, 160, 150, 160, 145, 145, 145, 170, 170, 135, 160, 145, 113, 155, 155, 110, 155, 170, 105, 155, 135, 135, 165, 150, 150, 120, 115, 115, 115, 150, 180, 180, 155, 110, 145, 168, 150, 155, 160, 155, 160, 165, 180, 150, 155, 160, 185, 160, 150, 150, 120, 160, 165, 155, 160, 160, 175, 135, 160, 180, 145, 145, 135, 135, 150, 129, 120, 120, 140, 160, 130, 150, 150, 150, 180, 150, 145, 150, 150, 155, 150, 155, 180, 125, 165]"
non la,877.58,1921.95,"[27, 26, 27, 2680, 2320, 26, 2650, 26, 2650, 26, 2340, 2610, 25, 24, 2750, 26, 27, 26, 26, 22, 24, 27, 27, 2650]","[2660, 29, 3450, 50, 35, 2750, 2720, 2770, 2760, 31, 2640, 2850, 27, 27, 2750, 2670, 31, 2660, 2720, 2750, 27, 45, 27, 2700, 38, 2650, 2690, 31, 31, 28, 2640, 2750, 2630, 35, 41, 2625, 2625, 2700, 2690, 2675, 2675, 23, 3230, 2800, 47, 2680, 2650, 2700, 2700, 28, 27, 2640, 2750, 30, 2675, 2675, 2675, 4150, 2600, 3600, 29, 36, 36, 36, 2770, 31, 2330, 2800, 2800, 2750, 27, 28, 2635, 2635, 42, 2800, 2800, 27, 42, 2650, 2660, 2660, 2635, 2635, 2850, 2680, 2640, 5200, 2280, 23, 2850, 2650, 3250, 2650, 2770, 2670, 2750, 2750, 26, 2635, 26, 2640, 4400, 36, 36, 27, 2650, 4150, 2650, 2900, 5000, 2680, 2670, 2670, 2750, 36, 2775, 2750, 35, 35, 2635, 2635, 26, 4750, 33, 2755, 2350, 2750, 28, 2750, 2660, 2660, 2660, 2650, 2685, 30, 29, 2680, 2470, 2250, 2760, 27, 52, 2650, 2850, 2850, 2850, 26]"
noodle bowl hat,175.0,200.0,"[170, 180]",[200]
noodle's loaf hat,45.0,41.83,[45],"[70, 75, 3, 68, 25, 1, 50, 40, 45, 45, 40, 40]"
nutcracker hat,N/A,21.33,N/A,"[35, 25, 4]"
oceanic crown,9.0,10.05,"[10, 8, 9]","[10, 8, 15, 9, 13, 10, 9, 9, 10, 10, 7, 5, 10, 9, 9, 13, 13, 14, 10, 10, 11, 10, 8, 10, 9, 15, 13, 9, 9, 9, 9, 10, 15, 8, 11, 11, 11, 10, 15, 10, 10, 15, 10, 10, 6, 7, 7, 10, 9, 8, 10, 10, 7, 12, 10, 8, 8]"
octopus head,0.5,1.05,"[0.5, 0.5, 0.5, 0.5]","[1, 0.5, 2, 1, 1, 1, 3, 3, 1, 1, 1, 1, 0.5, 1, 1, 0.5, 1, 1, 1, 1, 2, 1, 1, 0.5, 0.5, 1, 0.5, 1, 0.5, 1, 1, 1, 0.5, 1, 1, 1, 0.5, 1, 0.5, 1, 2, 0.5, 2, 1, 0.5, 0.5, 1, 2, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
old-timey hat,225.0,N/A,[225],N/A
outback hat,23.0,24.44,[23],"[20, 24, 26, 28, 23, 24, 24, 25, 26]"
owl mask,N/A,26.14,N/A,"[25, 25, 18, 25, 25, 30, 35]"
oxen battle helm,35.91,41.33,"[30, 40, 35, 40, 35, 50, 50, 30, 50, 5, 30]","[40, 40, 70, 33, 33, 33, 50, 35, 40, 50, 50, 35, 40, 30, 65, 40, 30, 30]"
panda mask,N/A,38.75,N/A,"[40, 50, 30, 35]"
party hat,0.2,N/A,[0.2],N/A
party style top hat,N/A,N/A,N/A,N/A
pearl tiki crown,61.5,69.26,"[55, 64, 60, 75, 70, 40, 70, 75, 80, 55, 38, 38, 75, 60, 55, 80, 66, 55, 60, 70, 75, 60, 50, 50]","[80, 70, 70, 85, 50, 60, 70, 70, 60, 60, 85, 70, 80, 80, 40, 75, 75, 80, 60, 65, 65, 80, 50, 85, 80, 70, 57, 69, 53, 70, 60, 50, 85, 57, 80, 80, 80, 80, 66, 80, 45, 70, 80, 70, 45, 75, 60, 56, 70, 60, 85, 55, 55, 65, 50, 70, 80, 80, 80, 40, 80, 85, 55, 55, 55, 70, 80, 80, 50, 55, 80, 70, 65, 85, 70, 60, 75, 80, 80, 75, 75, 70, 90, 90, 90, 75, 70, 80, 50, 70, 85, 58, 60]"
peas in a pod hat,N/A,N/A,N/A,N/A
pegasus crown,196.67,251.36,"[190, 200, 200]","[220, 265, 320, 200, 260, 250, 270, 280, 190, 310, 200]"
pet punching ghost,431.33,622.03,"[810, 4, 480]","[470, 830, 550, 450, 470, 430, 430, 920, 920, 920, 770, 900, 520, 400, 440, 510, 820, 60, 450, 570, 650, 800, 480, 800, 750, 930, 630, 520, 530, 530, 980, 515, 515, 950, 460, 460, 7, 550, 450, 570, 450, 415, 880, 440, 650, 550, 490, 620, 950, 550, 500, 700, 720, 900, 430, 800, 570, 800, 800, 460, 580, 600, 550, 830, 965, 700, 945, 540, 500, 500, 650, 550, 500, 540, 60, 930, 950, 630, 10, 570, 570, 650, 555, 555, 480, 760, 760, 920, 750, 780, 580, 880, 830, 570, 530, 955, 530]"
pet royal guard,N/A,522.5,N/A,"[600, 435, 620, 500, 500, 480]"
pet trainer cap,14.4,16.4,"[12, 10, 5, 15, 30]","[15, 11, 15, 15, 13, 25, 20, 17, 16, 17]"
petite pineapple hair pin,N/A,N/A,N/A,N/A
phoenix crown,N/A,168.55,N/A,"[175, 180, 170, 150, 170, 175, 175, 147, 182, 155, 175]"
phonecats hat,N/A,N/A,N/A,N/A
pilgrim's bonnet,N/A,3.5,N/A,"[6, 5, 4, 3, 3, 3, 3, 4, 8, 2, 5, 2, 3, 4, 4, 3, 2, 3, 2, 2, 2, 3, 3, 5]"
pilgrim's hat,N/A,N/A,N/A,N/A
pineapple coronet,166.67,209.46,"[200, 150, 150]","[150, 230, 220, 220, 150, 300, 120, 125, 300, 150, 200, 200, 200, 135, 120, 229, 240, 150, 215, 250, 250, 200, 200, 200, 335, 130, 330, 300, 300, 300, 200, 150, 229, 230, 330, 150, 160, 160, 200, 150, 160, 300, 250, 330, 130, 250, 320, 70, 145, 130, 5, 250, 300, 300, 100, 350, 150, 150, 150, 250, 225, 160, 160, 160, 350, 240, 220, 220, 220]"
pineapple pyramid hat,N/A,N/A,N/A,N/A
pineapple tiki mask,N/A,N/A,N/A,N/A
pink fedora,7.9,8.59,"[7, 8, 8, 8, 7, 6, 7, 10, 10, 8]","[7, 10, 8, 10, 8, 7, 8, 9, 8, 8, 10, 8, 9, 8, 10, 7, 7, 10, 8, 10, 7, 9, 9, 7, 10, 9, 10, 10, 8, 10, 8, 8, 8, 8, 10, 10, 8, 10, 7, 7, 9, 7, 8, 8, 9, 9, 10, 10, 8, 10, 8, 11, 9, 8, 8, 9, 9, 10, 9, 8, 7, 7, 8, 9, 8, 10, 9, 9, 8, 7, 9, 8, 8, 9, 9, 9, 8, 8, 9, 9, 10, 9, 8, 8, 8, 8, 7, 8, 7, 8, 8, 10, 9, 10, 9, 10, 9, 10, 9, 5, 5, 11, 8, 8, 8, 8, 12, 7, 8, 9, 8, 8, 10, 12, 8, 8, 8, 8, 8, 8, 10, 10, 7, 7, 9, 10, 8, 8, 8, 10, 9, 9, 9, 8, 8, 7, 10, 9, 8, 12, 6, 8, 8, 7, 9, 11, 9, 8, 7, 9, 8, 10, 9, 9, 9, 9, 9, 9, 8, 7, 7, 10, 10, 8, 12, 8, 9, 8, 8, 8, 9, 11, 10, 8, 8, 10, 9, 8, 12, 12, 9, 9, 7, 8, 8, 9, 8, 8, 8, 8, 9, 8, 9, 8, 9, 10, 8, 8, 9, 9, 9, 8, 10, 8, 6, 8, 9, 8, 8, 10, 10, 7, 7, 10, 10, 10, 8, 8, 11, 9, 8, 10, 8, 7, 8, 8, 8, 8, 8, 8, 9, 7, 8, 12, 8, 10, 7, 8, 10, 7, 10, 8, 7, 7, 9, 10, 10, 9, 9, 8, 8, 8, 8, 10, 8, 7, 9, 9, 9, 8, 10, 8, 9, 9, 7, 8, 12, 9, 7, 9, 10, 10, 6, 8, 7, 10, 9, 7, 10, 8, 8, 9, 10, 10, 9, 9, 8, 8, 7, 9, 10, 8, 11, 7, 8, 9, 8, 9, 8, 8, 8, 9, 7, 9, 9, 9, 8, 9, 8, 8, 10, 7, 12, 9, 7, 10, 8, 10, 8, 6, 7, 10, 8, 9, 8, 8, 7, 8, 9, 9, 9, 10, 7, 8, 10, 7, 10, 8, 9, 10, 8, 9, 6, 8, 7, 9, 8, 9, 8, 8, 8, 9, 8, 8, 8, 10, 10, 7, 8, 8, 8, 9, 10, 9, 8, 7, 8, 8, 9, 10, 9, 8, 10, 10, 8, 8, 8, 8, 10, 9, 8, 8, 8, 8, 12, 7]"
pink hair bow,N/A,N/A,N/A,N/A
pink teddy mask,N/A,116.67,N/A,"[120, 120, 110]"
pirate hat,N/A,N/A,N/A,N/A
pith helmet,N/A,0.37,N/A,"[0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.2, 0.3333333333333333, 0.25, 0.5, 0.5, 0.25, 0.5, 0.5]"
plague doctor hat,N/A,16.4,N/A,"[15, 15, 18, 16, 18]"
pooka hood,22.86,26.0,"[20, 20, 25, 20, 20, 35, 20]","[20, 25, 20, 27, 30, 30, 35, 25, 25, 25, 22, 23, 30, 20, 25, 35, 23, 35, 30, 30, 25, 25, 35, 20, 20, 30, 35, 3, 28, 20, 30]"
possessed witch hat,N/A,N/A,N/A,N/A
punch antennae,N/A,8.0,N/A,[8]
purple shore crab headband,N/A,32.73,N/A,"[30, 30, 30, 30, 35, 35, 30, 30, 30, 40, 40]"
rabbit top hat,1000.0,538.09,[1000],"[1450, 1050, 15, 20, 15, 1720, 20, 20, 14, 1580, 15]"
raccoon hat,N/A,210.0,N/A,[210]
raspberry beret,N/A,25.46,N/A,"[30, 30, 22, 27, 25, 25, 24, 25, 25, 26, 27, 27, 26, 25, 25, 25, 26, 22, 25, 25, 26, 24, 22, 28, 20, 22, 25, 29, 26, 27, 25, 26, 20, 35, 25, 25, 25]"
reanimated howly hat,12.0,14.43,"[20, 14, 2]","[30, 12, 15, 14, 13, 13, 10, 10, 10, 14, 14, 25, 12, 18, 2, 24, 15, 15, 20, 13, 11, 10, 20, 14, 13, 12, 12, 12, 16, 14]"
red brimmed hat,N/A,0.5,N/A,"[0.5, 0.5, 0.5]"
red dragon body,N/A,N/A,N/A,N/A
red dragon head,1.0,2.0,[1],"[2, 2, 2]"
red dragon legs,N/A,N/A,N/A,N/A
red dragon tail,N/A,1.0,N/A,"[1, 1]"
red panda spirit,300.0,344.12,[300],"[405, 400, 380, 270, 330, 260, 470, 365, 330, 380, 300, 340, 208, 450, 360, 270, 220, 380, 430, 330, 350, 380, 375, 230, 390]"
red riding hood,N/A,0.04,N/A,"[0.03333333333333333, 0.025, 0.05, 0.05, 0.03333333333333333, 0.025]"
rhino horn,310.0,318.25,"[300, 340, 250, 320, 290, 290, 350, 340]","[290, 300, 280, 280, 310, 340, 325, 325, 310, 300, 290, 375, 325, 325, 400, 320, 305, 325, 300, 333, 290, 290, 300, 400]"
ringmaster hat,N/A,0.09,N/A,"[0.08333333333333333, 0.1]"
rockin' headband,N/A,0.31,N/A,"[0.25, 0.3333333333333333, 0.3333333333333333]"
role up!/builder,N/A,N/A,N/A,N/A
rooster hat,N/A,N/A,N/A,N/A
rose hairpin,2.0,710.0,[2],[710]
royal nocturnal crown,542.0,551.28,"[470, 620, 525, 500, 595]","[530, 530, 535, 560, 585, 590, 510, 480, 480, 530, 620, 500, 520, 610, 620, 550, 560, 580, 580, 510, 620, 530, 530, 580, 620, 535, 600, 545, 520, 520, 630, 570, 540, 520, 520, 535, 530, 570, 580, 540, 560, 630, 600, 540, 570, 510, 580, 530, 500, 580, 500, 570, 575, 520, 590, 600, 520, 615, 610, 500, 500, 600, 600, 600, 630, 500, 500, 610, 610, 535, 500, 580, 515, 400, 540, 580, 460, 530, 540, 580, 540, 550, 530, 530, 540, 560, 540, 540, 520, 540]"
royal red panda spirit,610.0,614.57,[610],"[1600, 900, 900, 400, 450, 395, 395, 400, 880, 6, 550, 600, 780, 630, 700, 800, 800, 390, 460, 460, 410]"
safari hat,2.0,N/A,[2],N/A
sami hat,N/A,N/A,N/A,N/A
samurai's kabuto,N/A,2.65,N/A,"[3, 1, 2, 2, 2, 3, 3, 3, 2, 3, 1, 2, 5, 2, 5, 5, 1]"
santa hat,N/A,70.0,N/A,"[70, 70]"
scrub cap,N/A,0.12,N/A,"[0.125, 0.125, 0.1, 0.125, 0.125, 0.125, 0.1]"
serpent headdress,N/A,0.62,N/A,"[0.5, 0.5, 1, 0.5]"
shadow crown,734.78,1871.58,"[40, 32, 35, 66, 35, 5850, 43, 58, 61, 42, 5950, 63, 40, 43, 30, 50, 40, 40, 60, 40, 27, 4200, 55]","[4750, 4030, 52, 60, 65, 65, 4650, 61, 67, 4900, 4650, 44, 57, 4800, 43, 4450, 4650, 45, 42, 51, 58, 4900, 43, 48, 48, 4650, 55, 62, 62, 56, 5650, 6380, 4265, 42, 4030, 48, 4050, 58, 58, 58, 58, 61, 61, 57, 6050, 65, 59, 63, 60, 65, 6200, 6200, 4755, 4250, 46, 64, 60, 4050, 60, 4150, 41, 50, 50, 50, 5550, 60, 48, 48, 64, 43, 6100, 6100, 4130, 40, 4020, 59, 42, 5990, 48, 42, 60, 6100, 65, 48, 59, 4150, 59, 40, 4020, 4170, 6250, 57, 59, 4680, 5980, 4250, 57, 4050, 4050, 49, 65, 65, 43, 41, 45, 6000, 58, 6450, 42, 4570, 40, 58, 4000, 4000, 5450, 4050, 48, 4250, 61, 61, 4820, 61, 41, 4180, 43, 55, 55, 4050, 75, 5450, 4250, 4250, 56, 50, 40, 60, 58]"
shamrock hair pin,N/A,N/A,N/A,N/A
shark head,474.24,515.98,"[510, 400, 520, 350, 480, 450, 550, 460, 470, 500, 500, 500, 500, 480, 500, 510, 480, 320, 480, 470, 475, 475, 500, 505, 350, 515, 490, 490, 505, 450, 480, 490, 495]","[510, 500, 510, 515, 550, 495, 520, 520, 490, 580, 530, 500, 540, 550, 525, 500, 520, 520, 520, 520, 510, 500, 500, 520, 520, 500, 550, 530, 500, 502, 502, 502, 515, 525, 525, 515, 500, 500, 510, 500, 495, 525, 535, 530, 570, 505, 550, 515, 510, 515, 510, 490, 510, 520, 485, 515, 520, 545, 530, 500, 510, 510, 550, 505, 560, 515, 520, 500, 505, 525, 525, 480, 490, 505, 520, 550, 500, 515, 500, 520, 520, 520, 560, 520, 500, 530, 515, 515, 530, 500, 545, 545, 495, 510, 490, 520, 520, 510, 490, 550, 490, 530, 520, 505, 505, 505, 520, 510, 500, 500, 485, 485, 490, 555, 545, 545, 520, 550, 510, 520, 535, 500, 500, 495, 520, 475, 530, 510, 530, 525, 550, 560, 500, 510, 500, 500, 505, 540, 510, 500, 540, 470, 505, 505, 490, 520, 535, 520, 520, 510, 540, 505, 525, 525, 490, 520, 505, 490, 500, 500, 490, 540, 500, 520, 520, 540, 510, 530, 530, 515, 495, 515, 515, 560, 500, 560, 500, 510, 510, 510]"
showgirl headdress,N/A,5.0,N/A,[5]
silk turban,25.0,22.8,[25],"[25, 20, 25, 23, 30, 20, 22, 15, 23, 25]"
ski cap,100.83,0.05,"[0.04, 300, 20, 184, 0.1]","[0.05, 0.0625, 0.04, 0.06666666666666667, 0.05, 0.05, 0.05]"
ski helmet,N/A,226.5,N/A,"[3, 450]"
sleepy santa hat,N/A,40.0,N/A,[40]
