Name,Buy,Sell,Found Buy Prices,Found Sell Prices
heartking's crown,N/A,1.82,N/A,"[2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 3, 2, 3, 1]"
heartqueen's crown,N/A,1,N/A,"[1, 1, 1, 1, 1, 1, 1]"
heartthrob helm,N/A,2.41,N/A,"[3, 3, 2, 3, 1, 1, 3, 3, 3, 2, 2, 3, 3, 2, 3, 1, 2, 2, 2, 3, 3, 3]"
hellfire horns (disambiguation),N/A,N/A,N/A,N/A
hellfire horns - black,28.67,2983.33,"[34, 26, 26]","[2960, 2960, 2780, 3050, 3050, 3100]"
hellfire horns - blue,N/A,3442.33,N/A,"[5200, 52, 5075]"
hellfire horns - orange,1439,1618.57,"[2850, 28]","[44, 4150, 3525, 3500, 40, 39, 32]"
hellfire horns - ruby,N/A,N/A,N/A,N/A
helmet of darkness,31.25,37.08,"[37, 30, 28, 30]","[45, 50, 45, 37, 30, 30, 35, 35, 35, 31, 45, 35, 28, 31, 35, 35, 35, 30, 45, 45, 45, 45, 40, 35, 40, 38, 30, 40, 40, 45, 35, 30, 30, 30, 30, 45]"
hermit crab helmet,N/A,88.64,N/A,"[90, 100, 90, 80, 80, 80, 100, 100, 95, 80, 80]"
horn headband,680,709.82,"[670, 660, 670, 670, 685, 670, 725, 680, 660, 670, 690, 690, 680, 700]","[710, 700, 740, 710, 705, 705, 700, 720, 725, 700, 720, 675, 700, 675, 730, 710, 680, 675, 700, 700, 700, 700, 695, 720, 675, 740, 730, 700, 725, 725, 700, 725, 740, 750, 730, 685, 680, 660, 750, 730, 675, 690, 690, 720, 690, 715, 690, 730, 690, 700, 690, 720, 710, 720, 640, 670, 740, 730, 690, 680, 725, 750, 730, 710, 750, 720, 750, 715, 715, 700, 720, 700, 710, 730, 720, 730, 690, 720, 690, 740, 720, 750]"
horns of growganoth,N/A,3340.6,N/A,"[190, 190, 15920, 198, 160, 183, 195, 188, 2, 16180]"
horns of infinity,921.3,1348.42,"[1270, 1060, 11, 16, 1240, 11, 1250, 16, 11, 1100, 1090, 1240, 1650, 1650, 1550, 1050, 11, 1480, 1500, 1220]","[1530, 1230, 1230, 1520, 1410, 1570, 1130, 1560, 1160, 1250, 1380, 1430, 1430, 1130, 1490, 1490, 1400, 1600, 1645, 1260, 1480, 1480, 1185, 1185, 1570, 1370, 1215, 1140, 1410, 1235, 1235, 1265, 1285, 1215, 1215, 1460, 1220, 1140, 1150, 1600, 1545, 1115, 1500, 1230, 1650, 1500, 1445, 1150, 1150, 1305, 1265, 1120, 1550, 1510, 1150, 1460, 1460, 1220, 1490, 1490, 1350, 1150, 1150, 1510, 1145, 1640, 1670, 1260, 1120, 1120, 1360, 1200, 1120, 1530, 1530, 1460, 1500, 1500, 1145, 1470, 1280, 1265, 1670, 1150, 1160, 1160, 1470, 1510, 1320, 1600, 1270, 1140, 1230, 1660, 1545, 1235, 1140, 1205]"
hot cross bun beret,50,76.11,"[30, 60, 45, 65]","[90, 60, 80, 85, 60, 120, 70, 60, 60]"
howling pineapple crown,325,337.96,[325],"[350, 350, 360, 355, 300, 300, 300, 330, 340, 345, 350, 300, 290, 320, 315, 325, 325, 380, 300, 340, 340, 320, 320, 340, 330, 330, 360, 390, 300, 360, 350, 360, 340, 340, 345, 330, 340, 300, 360, 350, 320, 360, 350, 330, 350, 320, 365, 380, 350, 350, 390, 350, 330, 325]"
howly hat,6.52,16,"[0.1, 12, 7, 7]","[15, 20, 15, 15, 15]"
indonesian headdress,N/A,88,N/A,"[55, 200, 65, 55, 65]"
infinity crown,N/A,N/A,N/A,N/A
irish top hat,7,N/A,"[8, 6]",N/A
item of the month/2020,N/A,N/A,N/A,N/A
jack's hat,N/A,N/A,N/A,N/A
jester's cap,15,12.45,[15],"[10, 25, 20, 10, 14, 14, 13, 12, 9, 9, 1]"
jiangshi hat,N/A,17.17,N/A,"[1, 50, 0.5]"
kamishimo hat,N/A,2,N/A,"[2, 2, 2, 2, 2, 2, 2]"
killer doctor's cap,N/A,N/A,N/A,N/A
knight helmet,N/A,48.74,N/A,"[65, 0.2, 4, 0.2, 0.2, 0.2, 70, 85, 85, 4, 4, 65, 75, 70, 80, 0.2, 65, 0.2, 57, 4, 70, 0.2, 75, 65, 65, 80, 73, 70, 70, 75, 65, 70, 75, 0.2, 75, 75, 60, 0.2, 70, 85, 75, 64, 4]"
knight's great helm - golden,7,11.67,[7],"[15, 15, 5]"
knight's helm - antlers,N/A,N/A,N/A,N/A
knight's helm - crusader,N/A,5,N/A,"[5, 5]"
koala ears,74.52,90.67,"[55, 80, 60, 60, 85, 95, 85, 65, 85, 70, 85, 95, 90, 80, 70, 90, 55, 80, 50, 55, 75]","[60, 90, 90, 60, 90, 85, 90, 90, 100, 60, 95, 95, 80, 100, 90, 90, 90, 85, 85, 130, 65, 95, 65, 120, 65, 110, 90, 87, 95, 97, 100, 93, 93, 95, 95, 100, 90, 95, 100, 100, 85, 100, 100, 83, 105, 95, 95, 120, 120, 90, 90, 95, 100, 95, 60, 60, 70]"
kuma-boshi,N/A,N/A,N/A,N/A
leprechaun hat,N/A,N/A,N/A,N/A
light up antlers,8,13.06,[8],"[15, 15, 10, 12, 10, 20, 20, 12, 10, 10, 10, 10, 11, 19, 5, 15, 10, 9, 10, 20, 13, 15, 15, 20, 20, 11, 15, 11, 20, 12, 10, 10, 11, 15, 9, 10]"
lightning horns,200.88,215.7,"[165, 165, 150, 250, 230, 190, 170, 270, 175, 200, 180, 255, 320, 185, 160, 180, 170]","[220, 195, 200, 340, 185, 230, 230, 250, 340, 160, 190, 205, 177, 320, 180, 215, 170, 170, 190, 190, 168, 168, 170, 180, 300, 185, 200, 170, 250, 340, 280, 187, 190, 190, 190, 190, 220, 185, 370, 198, 195, 180, 330, 330, 185, 185, 185, 220, 164, 180, 250, 180, 190, 2, 205, 320, 180, 190, 190, 170, 170, 175, 325, 330, 315, 170, 190, 190, 185, 180, 190, 190, 180, 172, 172, 250, 185, 175, 5, 175, 180, 195, 177, 177, 185, 315, 200, 200, 345, 345, 180, 180, 315, 190, 190, 185, 180, 180, 400, 180, 170, 180, 330, 185, 300, 275, 175, 180, 180, 185, 330, 310, 170, 185, 185, 230, 200, 175, 222, 185, 163, 175, 335, 200, 200, 170, 360, 210, 3, 350, 200, 385, 180, 200, 220, 185, 325, 325, 190, 250, 350, 300, 300, 180, 3, 3, 160, 160, 160, 185, 257, 220, 160, 195, 170, 170, 295, 360, 325, 400, 260, 299, 185, 220, 180, 180, 325, 345, 220, 240, 175, 180, 180, 330, 360, 170, 355, 170, 220, 180, 180, 185, 300, 170, 170, 178, 195, 195, 180, 185, 190, 185, 185, 305, 195, 250, 185, 185, 180, 310, 175, 175, 190, 190, 370, 170, 190, 194, 205, 205, 205, 350, 330, 160, 360, 190, 180, 170, 5, 190, 180, 180, 185, 185, 240, 220]"
loving halo,139.41,158.29,"[170, 110, 150, 170, 120, 180, 140, 120, 140, 130, 120, 160, 150, 130, 130, 130, 120]","[140, 150, 155, 160, 160, 190, 190, 150, 150, 145, 145, 170, 170, 120, 155, 160, 160, 160, 140, 125, 125, 160, 165, 150, 180, 160, 160, 135, 135, 140, 135, 190, 160, 200, 150, 160, 145, 145, 130, 140, 160, 160, 175, 175, 145, 145, 145, 145, 170, 190, 185, 145, 170, 160, 160, 150, 170, 200, 150, 170, 190, 190, 170, 160, 150, 150, 160, 135, 135, 170, 160, 170, 170, 150, 170, 170]"
lucky lizard hat,N/A,81,N/A,"[95, 38, 110]"
lucky pinata hat,30,35,"[25, 35]","[25, 45, 35]"
mad hatter,98.33,116.59,"[110, 90, 100, 110, 80, 100]","[105, 120, 120, 95, 130, 110, 130, 120, 120, 110, 120, 90, 120, 120, 110, 120, 120, 115, 125, 130, 95, 150, 100, 110, 150, 100, 140, 115, 110, 120, 120, 119, 95, 95, 150, 130, 125, 130, 130, 130, 100, 100, 95, 120, 130, 120, 120, 125, 115, 120, 118, 118, 110, 115, 110, 110, 120, 125, 110, 85, 135, 110, 115, 90, 120, 120, 120, 120, 135, 125, 110, 120, 120, 120, 120, 113, 120, 115, 110, 130, 110, 120, 115, 100, 125, 120, 110, 105, 120, 100, 115, 120, 130, 120, 120, 120, 110, 120, 120, 90, 125, 125, 120, 115, 120, 110, 120, 110, 110, 110, 120, 130, 130, 120, 120, 110, 120, 120, 120, 110, 80, 110, 115, 115, 110, 110, 115, 120, 110, 95, 110, 120, 125, 130, 130, 120, 125, 115, 115, 120, 95, 120, 95, 150, 120, 110, 125]"
mah-kah-ron hat,N/A,N/A,N/A,N/A
mariachi hat,N/A,2,N/A,"[2, 2]"
medusa's crown,N/A,400,N/A,[400]
"meh, bunny mask",N/A,N/A,N/A,N/A
merlin hat,N/A,28,N/A,"[26, 30, 24, 30, 30]"
mighty legend helm,12,22.67,[12],"[5, 13, 50]"
monk's hood,N/A,1.5,N/A,"[2, 2, 2, 0.5, 1, 1, 1, 2, 2]"
monkey mask,N/A,12,N/A,[12]
monkey warrior's circlet,18.33,24.5,"[15, 20, 20]","[20, 25, 25, 25, 20, 28, 27, 23, 20, 25, 23, 20, 28, 25, 25, 25, 21, 28, 25, 25, 22, 25, 25, 28, 20, 23, 30, 30]"
monster mummy nemes,N/A,22.53,N/A,"[3, 7, 10, 10, 15, 10, 140, 10, 4, 7, 65, 2, 3, 60, 4, 30, 3]"
moon mask,N/A,55,N/A,[55]
mooncake hat,N/A,12.29,N/A,"[20, 15, 11, 11, 11, 12, 12, 12, 10, 10, 14, 12, 12, 10]"
moose cap,4.33,8.78,"[6, 5, 5, 3, 3, 4]","[8, 6, 14, 14, 20, 0.08333333333333333, 0.08333333333333333, 7, 7, 15, 15, 12, 5, 20, 5, 20, 7, 6, 25, 10, 5, 7, 8, 11, 6, 6, 11, 5, 13, 6, 6, 12, 13, 13, 5, 7, 5, 7, 10, 0.14285714285714285, 0.14285714285714285, 10, 5, 7, 9, 10, 7, 5, 5]"
mountain cap,12.75,11.81,"[12, 15, 12, 12]","[13, 10, 10, 10, 10, 14, 13, 15, 15, 10, 10, 10, 14, 10, 10, 10, 10, 15, 10, 10, 13, 10, 15, 10, 15, 10, 10, 15, 5, 13, 18, 18, 10, 12, 12, 10]"
mythic tiger crown,127.5,141.6,"[140, 160, 120, 90]","[135, 135, 130, 135, 135, 150, 165, 130, 140, 150, 155, 155, 140, 165, 165, 160, 145, 130, 130, 130, 130, 135, 170, 135, 165, 140, 140, 140, 135, 150, 150, 140, 140, 165, 123, 168, 140, 165, 130, 130, 160, 160, 160, 135, 135, 140, 145, 150, 99, 150, 130, 130, 165, 140, 155, 155, 135, 168, 130, 125, 140, 130, 145, 125, 135, 130, 150, 150, 150, 135, 140, 190, 140, 140, 155, 150, 140, 140, 120, 130, 135, 150, 120, 135, 140, 125, 135, 125, 130, 170, 140, 135, 130, 160, 160, 137, 137, 150, 135, 135, 130, 130, 140, 130, 165, 129, 115, 140, 130, 120, 130, 150, 140, 145, 145, 170, 170, 125, 125, 150, 130, 135, 135, 130, 150, 150, 138, 138, 140, 100, 180, 130, 130, 150, 155, 130, 155, 130, 140]"
neon manta ray,N/A,N/A,N/A,N/A
neptune's crown,N/A,N/A,N/A,N/A
nest hat,415,930,[415],"[540, 1320]"
nocturnal crown,145.56,149.94,"[170, 110, 170, 120, 140, 155, 160, 120, 165]","[155, 160, 180, 150, 155, 180, 160, 155, 155, 175, 160, 168, 160, 160, 110, 145, 145, 145, 170, 170, 135, 150, 150, 150, 160, 165, 155, 145, 145, 150, 185, 150, 110, 150, 105, 150, 115, 115, 115, 150, 155, 150, 150, 170, 165, 160, 120, 155, 150, 155, 130, 150, 180, 180, 135, 135, 160, 113, 160, 125, 145, 165, 150, 150, 160, 150, 155, 180, 155, 150, 145, 145, 160, 160, 120, 120, 135, 135, 165, 129, 155, 140, 180, 175, 135, 160, 120]"
non la,877.58,1921.95,"[24, 27, 26, 26, 22, 26, 25, 2750, 2320, 27, 2680, 26, 2650, 26, 27, 27, 27, 2650, 26, 2610, 24, 26, 2340, 2650]","[2750, 2640, 42, 2650, 36, 36, 36, 2670, 2470, 2280, 50, 27, 2625, 2625, 3230, 2650, 2750, 2750, 2700, 2700, 2850, 4750, 28, 2750, 2650, 2755, 2750, 2650, 27, 2250, 2600, 4400, 29, 27, 2640, 45, 29, 26, 27, 2800, 2800, 2690, 3450, 2680, 28, 3250, 2650, 42, 2650, 2680, 2670, 35, 2630, 2670, 2670, 2660, 2660, 2750, 2750, 2750, 27, 3600, 29, 2635, 2635, 2635, 2635, 5200, 2900, 26, 2635, 2330, 31, 2850, 2675, 2675, 36, 36, 27, 27, 2850, 2720, 2750, 2640, 35, 36, 2650, 2675, 2675, 2675, 2350, 23, 2640, 2770, 2680, 2635, 2635, 2650, 2660, 27, 2690, 33, 2750, 2680, 2700, 26, 2750, 2760, 4150, 2770, 26, 41, 23, 30, 2770, 2850, 2850, 2850, 31, 31, 2685, 28, 2650, 2720, 5000, 28, 2800, 2800, 2800, 2640, 27, 35, 35, 2750, 31, 2660, 2660, 2660, 2760, 38, 47, 2660, 52, 30, 2700, 4150, 2775, 31]"
noodle bowl hat,175,200,"[180, 170]",[200]
noodle's loaf hat,45,41.83,[45],"[75, 50, 40, 25, 1, 45, 45, 3, 68, 70, 40, 40]"
nutcracker hat,N/A,21.33,N/A,"[35, 4, 25]"
oceanic crown,9,10.05,"[8, 9, 10]","[9, 10, 12, 15, 8, 11, 8, 15, 9, 7, 11, 11, 8, 14, 15, 6, 10, 15, 13, 9, 9, 9, 10, 10, 7, 8, 9, 10, 10, 8, 13, 13, 10, 10, 8, 10, 10, 10, 10, 10, 11, 10, 5, 10, 9, 7, 9, 10, 13, 9, 7, 9, 15, 10, 10, 9, 10]"
octopus head,0.5,1.05,"[0.5, 0.5, 0.5, 0.5]","[1, 0.5, 1, 1, 2, 1, 1, 1, 0.5, 0.5, 1, 0.5, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 0.5, 1, 1, 0.5, 1, 0.5, 1, 2, 1, 1, 0.5, 1, 1, 1, 1, 2, 0.5, 0.5, 1, 0.5, 1, 1, 3, 3, 1, 1, 0.5, 1, 1, 0.5, 1, 1, 2, 1, 1, 1]"
old-timey hat,225,N/A,[225],N/A
outback hat,23,24.44,[23],"[24, 26, 26, 24, 25, 20, 23, 28, 24]"
owl mask,N/A,26.14,N/A,"[25, 35, 25, 25, 25, 30, 18]"
oxen battle helm,35.91,41.33,"[50, 30, 35, 35, 40, 30, 50, 5, 40, 30, 50]","[35, 40, 35, 70, 50, 33, 33, 33, 30, 30, 40, 40, 40, 40, 30, 50, 50, 65]"
panda mask,N/A,38.75,N/A,"[35, 40, 50, 30]"
party hat,0.2,N/A,[0.2],N/A
party style top hat,N/A,N/A,N/A,N/A
pearl tiki crown,61.5,69.26,"[80, 64, 66, 55, 70, 38, 38, 50, 75, 80, 60, 60, 75, 50, 55, 70, 75, 75, 55, 55, 60, 60, 70, 40]","[40, 57, 50, 75, 75, 60, 80, 80, 80, 80, 58, 75, 75, 85, 80, 70, 45, 55, 75, 70, 50, 70, 85, 80, 70, 80, 85, 65, 65, 85, 60, 60, 70, 70, 70, 70, 85, 65, 56, 80, 80, 80, 50, 70, 80, 90, 90, 90, 85, 60, 80, 75, 55, 57, 70, 53, 60, 75, 50, 80, 80, 70, 60, 80, 80, 80, 40, 70, 80, 60, 70, 55, 55, 85, 80, 80, 80, 55, 69, 85, 45, 66, 70, 60, 80, 60, 70, 65, 70, 70, 50, 50, 55]"
peas in a pod hat,N/A,N/A,N/A,N/A
pegasus crown,196.67,251.36,"[200, 190, 200]","[200, 220, 265, 280, 270, 190, 200, 260, 310, 250, 320]"
pet punching ghost,431.33,622.03,"[810, 480, 4]","[550, 570, 820, 570, 550, 750, 600, 415, 550, 830, 770, 540, 430, 650, 60, 830, 460, 800, 800, 930, 490, 470, 60, 460, 460, 780, 515, 515, 630, 520, 630, 945, 530, 550, 440, 700, 880, 880, 530, 530, 400, 800, 965, 520, 555, 555, 720, 450, 570, 570, 920, 920, 920, 650, 650, 440, 900, 450, 980, 550, 430, 10, 900, 480, 500, 620, 450, 580, 760, 760, 570, 920, 570, 7, 550, 450, 650, 430, 950, 510, 830, 500, 930, 955, 950, 750, 480, 530, 800, 800, 950, 500, 500, 540, 700, 580, 470]"
pet royal guard,N/A,522.5,N/A,"[600, 435, 480, 620, 500, 500]"
pet trainer cap,14.4,16.4,"[15, 30, 5, 12, 10]","[13, 17, 11, 15, 15, 17, 16, 25, 15, 20]"
petite pineapple hair pin,N/A,N/A,N/A,N/A
phoenix crown,N/A,168.55,N/A,"[175, 147, 180, 175, 175, 175, 150, 170, 170, 182, 155]"
phonecats hat,N/A,N/A,N/A,N/A
pilgrim's bonnet,N/A,3.5,N/A,"[4, 5, 2, 4, 2, 6, 3, 2, 4, 5, 3, 2, 3, 3, 3, 3, 3, 5, 2, 3, 3, 8, 2, 4]"
pilgrim's hat,N/A,N/A,N/A,N/A
pineapple coronet,166.67,209.46,"[200, 150, 150]","[250, 250, 125, 230, 335, 200, 320, 130, 300, 150, 150, 229, 300, 225, 330, 150, 5, 229, 70, 135, 150, 160, 150, 200, 250, 250, 150, 200, 120, 160, 160, 160, 150, 220, 220, 220, 160, 200, 200, 250, 130, 350, 150, 215, 120, 350, 150, 150, 330, 200, 240, 130, 230, 100, 200, 240, 145, 300, 300, 300, 220, 220, 300, 300, 200, 330, 300, 160, 250]"
pineapple pyramid hat,N/A,N/A,N/A,N/A
pineapple tiki mask,N/A,N/A,N/A,N/A
pink fedora,7.9,8.63,"[6, 7, 8, 8, 10, 8, 7, 8, 10, 7]","[8, 8, 10, 10, 9, 9, 9, 9, 11, 9, 8, 10, 9, 9, 10, 13, 13, 9, 9, 8, 8, 7, 8, 8, 8, 10, 10, 8, 10, 7, 9, 9, 8, 8, 10, 8, 8, 8, 8, 9, 8, 8, 9, 8, 7, 7, 8, 7, 9, 10, 8, 8, 7, 12, 7, 9, 10, 10, 8, 11, 8, 9, 8, 9, 10, 10, 9, 8, 8, 8, 8, 9, 7, 8, 9, 9, 9, 12, 9, 8, 10, 9, 10, 9, 6, 10, 10, 9, 8, 9, 7, 8, 7, 10, 9, 9, 9, 7, 8, 10, 10, 8, 9, 10, 8, 9, 9, 12, 12, 7, 10, 7, 9, 9, 9, 8, 8, 8, 9, 9, 8, 8, 8, 7, 9, 8, 9, 9, 9, 8, 9, 8, 8, 8, 8, 8, 8, 8, 10, 7, 9, 7, 6, 9, 10, 8, 9, 9, 7, 9, 7, 7, 8, 7, 9, 8, 10, 9, 8, 8, 7, 9, 8, 9, 8, 10, 8, 7, 9, 8, 10, 8, 8, 8, 10, 10, 9, 7, 9, 8, 8, 8, 8, 8, 8, 8, 10, 8, 9, 8, 10, 10, 7, 9, 10, 7, 9, 8, 12, 8, 8, 9, 9, 8, 8, 7, 10, 8, 7, 8, 8, 9, 7, 7, 8, 10, 9, 8, 10, 8, 9, 12, 10, 9, 7, 7, 9, 9, 10, 9, 10, 9, 8, 10, 10, 8, 8, 11, 12, 8, 8, 7, 8, 10, 10, 8, 8, 8, 9, 9, 8, 10, 7, 8, 10, 9, 8, 8, 6, 9, 8, 10, 11, 8, 8, 7, 9, 11, 8, 9, 7, 9, 12, 8, 7, 9, 8, 10, 10, 10, 8, 8, 8, 8, 9, 8, 10, 8, 10, 8, 10, 7, 10, 8, 8, 8, 8, 8, 10, 6, 9, 7, 8, 7, 7, 12, 10, 9, 10, 7, 7, 10, 10, 8, 8, 9, 7, 9, 9, 8, 10, 10, 10, 9, 8, 10, 6, 8, 8, 8, 8, 8, 8, 12, 10, 8, 9, 10, 10, 9, 8, 8, 8, 8, 9, 7, 8, 8, 8, 9, 8, 10, 9, 8, 8, 9, 8, 7, 8, 8, 7, 7, 8, 11, 10, 8, 8, 8, 10, 10, 7, 7, 8, 10, 9, 8, 8, 8, 9, 10, 8, 8, 9, 9, 8, 8]"
pink hair bow,N/A,N/A,N/A,N/A
pink teddy mask,N/A,116.67,N/A,"[110, 120, 120]"
pirate hat,N/A,N/A,N/A,N/A
pith helmet,N/A,0.37,N/A,"[0.5, 0.25, 0.25, 0.25, 0.5, 0.3333333333333333, 0.5, 0.2, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333]"
plague doctor hat,N/A,16.4,N/A,"[16, 15, 15, 18, 18]"
pooka hood,22.86,26,"[35, 20, 25, 20, 20, 20, 20]","[23, 20, 25, 20, 3, 25, 30, 35, 20, 20, 30, 20, 25, 35, 35, 30, 30, 25, 28, 25, 35, 30, 27, 30, 30, 25, 20, 35, 25, 23, 22]"
possessed witch hat,N/A,N/A,N/A,N/A
punch antennae,N/A,8,N/A,[8]
purple shore crab headband,N/A,32.73,N/A,"[30, 30, 30, 30, 35, 30, 30, 40, 40, 35, 30]"
rabbit top hat,1000,538.09,[1000],"[14, 15, 15, 1450, 15, 1580, 20, 20, 20, 1050, 1720]"
raccoon hat,N/A,210,N/A,[210]
raspberry beret,N/A,25.46,N/A,"[28, 35, 25, 26, 30, 30, 27, 25, 20, 25, 25, 25, 24, 26, 22, 25, 25, 25, 27, 25, 22, 22, 26, 25, 26, 25, 25, 25, 26, 20, 29, 22, 27, 26, 24, 25, 27]"
reanimated howly hat,12,14.43,"[2, 14, 20]","[30, 12, 15, 11, 24, 15, 10, 20, 13, 13, 14, 10, 10, 12, 16, 20, 13, 12, 25, 14, 14, 14, 18, 10, 12, 15, 12, 13, 14, 2]"
red brimmed hat,N/A,0.5,N/A,"[0.5, 0.5, 0.5]"
red dragon body,N/A,N/A,N/A,N/A
red dragon head,1,2,[1],"[2, 2, 2]"
red dragon legs,N/A,N/A,N/A,N/A
red dragon tail,N/A,1,N/A,"[1, 1]"
red panda spirit,300,344.12,[300],"[270, 350, 450, 380, 380, 380, 365, 300, 380, 400, 330, 208, 270, 330, 430, 220, 360, 340, 405, 330, 260, 375, 390, 470, 230]"
red riding hood,N/A,0.04,N/A,"[0.03333333333333333, 0.03333333333333333, 0.025, 0.05, 0.05, 0.025]"
rhino horn,310,318.25,"[350, 290, 250, 320, 300, 340, 290, 340]","[325, 400, 300, 333, 310, 325, 325, 340, 300, 320, 325, 305, 290, 280, 280, 400, 375, 290, 325, 290, 290, 300, 310, 300]"
ringmaster hat,N/A,0.09,N/A,"[0.08333333333333333, 0.1]"
rockin' headband,N/A,0.31,N/A,"[0.3333333333333333, 0.25, 0.3333333333333333]"
role up!/builder,N/A,N/A,N/A,N/A
rooster hat,N/A,N/A,N/A,N/A
rose hairpin,2,710,[2],[710]
royal nocturnal crown,542,550.93,"[595, 525, 470, 620, 500]","[620, 610, 600, 540, 545, 600, 520, 540, 590, 610, 570, 540, 570, 510, 530, 535, 530, 600, 520, 510, 500, 600, 590, 540, 570, 630, 560, 580, 560, 480, 480, 540, 620, 500, 535, 530, 530, 530, 520, 520, 400, 530, 530, 620, 550, 600, 550, 535, 580, 510, 540, 610, 540, 560, 580, 540, 575, 560, 530, 520, 630, 580, 580, 530, 540, 500, 500, 620, 630, 520, 580, 515, 500, 570, 580, 580, 500, 520, 500, 530, 520, 540, 615, 585, 500, 580, 600, 535, 610, 520, 460]"
royal red panda spirit,610,614.57,[610],"[550, 410, 390, 400, 450, 780, 395, 395, 700, 880, 630, 1600, 600, 900, 900, 800, 800, 6, 460, 460, 400]"
safari hat,2,N/A,[2],N/A
sami hat,N/A,N/A,N/A,N/A
samurai's kabuto,N/A,2.65,N/A,"[3, 3, 3, 1, 2, 2, 2, 1, 5, 5, 5, 1, 2, 3, 2, 3, 2]"
santa hat,N/A,70,N/A,"[70, 70]"
scrub cap,N/A,0.12,N/A,"[0.125, 0.1, 0.125, 0.125, 0.125, 0.1, 0.125]"
serpent headdress,N/A,0.62,N/A,"[0.5, 1, 0.5, 0.5]"
shadow crown,734.78,1871.58,"[35, 40, 40, 32, 43, 55, 66, 5950, 43, 30, 61, 35, 5850, 63, 27, 40, 40, 60, 40, 42, 50, 4200, 58]","[62, 62, 59, 67, 4650, 48, 43, 40, 6250, 58, 60, 4250, 4020, 5990, 60, 6200, 6200, 6000, 45, 59, 6050, 4570, 58, 58, 58, 4250, 58, 60, 4750, 42, 65, 65, 4170, 65, 48, 43, 5980, 41, 57, 49, 48, 75, 65, 65, 57, 41, 4650, 61, 61, 64, 40, 4800, 58, 4250, 4150, 51, 43, 42, 55, 55, 60, 52, 4050, 4900, 50, 50, 50, 4900, 42, 5650, 59, 42, 5550, 4250, 4030, 64, 46, 4250, 6380, 61, 61, 65, 57, 4050, 4180, 48, 48, 45, 4050, 4050, 59, 48, 4020, 6100, 4650, 4755, 57, 61, 58, 61, 4050, 44, 5450, 65, 60, 60, 48, 4680, 4265, 56, 40, 59, 40, 4650, 63, 50, 41, 42, 6100, 6100, 5450, 58, 4450, 4030, 6450, 43, 4050, 4130, 43, 4000, 4000, 55, 56, 4150, 60, 4820, 48]"
shamrock hair pin,N/A,N/A,N/A,N/A
shark head,474.24,515.98,"[470, 450, 495, 490, 475, 460, 520, 480, 500, 350, 500, 500, 550, 480, 475, 450, 500, 505, 505, 510, 480, 350, 510, 480, 490, 470, 320, 500, 490, 500, 400, 480, 515]","[520, 520, 520, 535, 545, 545, 540, 505, 505, 530, 515, 540, 515, 510, 505, 505, 505, 520, 550, 525, 525, 570, 530, 530, 530, 490, 490, 480, 500, 520, 515, 520, 510, 510, 545, 545, 510, 495, 475, 520, 515, 490, 510, 490, 540, 545, 515, 520, 510, 515, 490, 500, 560, 520, 510, 550, 510, 525, 525, 500, 510, 550, 580, 490, 520, 510, 530, 560, 515, 520, 520, 510, 525, 470, 530, 500, 500, 520, 515, 500, 520, 520, 520, 520, 520, 502, 502, 502, 520, 500, 520, 500, 485, 485, 500, 500, 525, 525, 540, 520, 525, 510, 510, 550, 535, 500, 490, 560, 515, 510, 500, 500, 520, 520, 555, 495, 540, 490, 550, 560, 530, 505, 490, 520, 530, 485, 490, 510, 510, 510, 500, 500, 500, 550, 500, 550, 505, 505, 560, 500, 500, 515, 500, 505, 520, 500, 500, 540, 530, 520, 500, 495, 505, 505, 500, 495, 500, 530, 535, 490, 515, 515, 510, 520, 510, 525, 510, 550, 510, 500, 505, 520, 520, 500, 550, 515, 495, 530, 500, 500]"
showgirl headdress,N/A,5,N/A,[5]
silk turban,25,22.8,[25],"[25, 23, 25, 15, 23, 22, 20, 30, 20, 25]"
ski cap,100.83,0.05,"[184, 0.04, 20, 0.1, 300]","[0.0625, 0.06666666666666667, 0.04, 0.05, 0.05, 0.05, 0.05]"
ski helmet,N/A,226.5,N/A,"[3, 450]"
sleepy santa hat,N/A,40,N/A,[40]
