Name,Buy,Sell,buyPrices,sellPrices
ghost dragon charm,425,403.73,"[430, 490, 450, 490, 480, 520, 460, 450, 570, 480, 5, 450, 200, 245, 490, 450, 450, 430, 590, 430, 430, 440, 5, 450, 540, 470, 580]","[240, 480, 530, 530, 215, 439, 600, 290, 290, 480, 480, 345, 480, 480, 480, 480, 500, 510, 510, 510, 230, 320, 350, 510, 380, 500, 515, 290, 290, 210, 210, 5, 5, 210, 340, 490, 530, 475, 235, 200, 310, 520, 360, 375, 490, 300, 480, 390, 505, 500, 305, 460, 350, 490, 500, 230, 325, 600, 475, 220, 510, 505, 515, 385, 240, 320, 320, 500, 350, 470, 600, 600, 405, 290, 500, 500, 250, 250, 250, 470, 540, 250, 490, 490, 210, 250, 610, 250, 480, 480, 215, 250, 260, 420, 505, 505, 220, 220, 230, 380, 400, 230, 6, 575, 490, 510, 470, 330, 320, 485, 485, 480, 240, 470, 510, 590, 590, 590, 330, 300, 375, 475, 650, 340, 230, 400, 375, 610, 230, 480, 505, 480, 465, 400, 485, 600, 600, 210, 220, 485, 605, 510, 490, 558, 530, 450, 500, 510, 290, 370, 390, 515, 275, 320, 525, 305, 616, 230, 525, 480, 250, 475, 500, 510, 200, 200, 4, 600, 480, 290, 300, 450, 580, 580, 540, 540, 490, 490, 620, 470, 610, 220, 400, 480, 480, 320, 300, 510, 245, 550, 620, 220, 480, 480, 410, 555, 500, 540, 540, 515, 230, 585, 210, 580, 580, 615, 495, 480, 450, 450, 450, 320, 320, 650, 480, 5, 480, 500, 500, 550, 490, 440, 500, 510, 480, 590, 455, 200, 475, 215, 6, 6, 480, 275, 275, 350, 250, 230, 215, 510, 490, 510, 500, 510, 600, 280, 490, 555, 555, 340, 340, 235, 420, 420, 240, 365, 560, 230, 210, 290, 450, 270, 275, 490, 485, 510, 535, 535, 510, 215, 370, 510, 250, 240, 285, 5, 5, 5, 510, 520, 400, 480, 480, 300, 575, 480, 500, 570, 460, 545, 390, 475, 525, 420, 600, 600, 335, 285, 500, 500, 600, 490, 330, 345, 265, 480, 480, 500, 240, 240, 480, 270, 310, 610, 610, 515, 400, 230, 250, 510, 510, 600, 370, 490, 500, 500, 450, 505, 400, 400, 490, 505, 310, 505, 480, 575, 575, 480, 235, 290, 375, 420, 280, 550, 550, 550, 210, 590, 230, 590, 280, 370, 230, 230, 480, 2, 550, 500, 490, 500, 325, 500, 300, 540, 470, 230, 390, 475, 230, 540, 195, 515, 515, 195, 310, 210, 495, 490, 620, 480, 530, 290, 485, 345, 590, 320, 308, 575, 575, 460, 240, 280, 590, 590, 220, 220, 465, 250, 290, 520, 500, 500, 485, 630, 260, 260, 390, 490, 530, 260, 450, 485, 530, 530, 220, 520, 520, 5, 200, 510, 230, 230, 450, 215, 225, 220, 6, 6, 250, 500, 300, 400, 330, 190, 190, 300, 6, 580, 510, 560, 270, 490, 2, 580, 5, 330, 220, 587, 230, 230, 306, 306, 250, 585, 230, 225, 578, 240, 520, 470, 523, 523, 630, 630, 580, 530, 220, 300, 285, 230, 220, 490, 490, 480, 230, 600, 600, 520]"
ghost wolf monocle,4.33,4.45,"[5, 3, 5, 3, 5, 5]","[4, 5, 3, 5, 5, 5, 5, 5, 3, 4, 5]"
gingerbread man,15,8.67,[15],"[15, 8, 12, 6, 6, 5]"
goat leash,7,8.91,[7],"[7, 8, 8, 8, 11, 7, 9, 8, 9, 7, 7, 9, 9, 7, 10, 7, 8, 8, 9, 10, 9, 9, 9, 10, 7, 7, 8, 11, 10, 9, 8, 10, 10, 8, 11, 7, 10, 15, 10, 8, 11, 9, 8, 8, 7, 8, 10, 5, 8, 10, 9, 8, 12, 11, 11, 10, 9, 10, 11, 11, 6, 10, 8, 10, 10, 10, 10, 10, 10, 10, 8, 7, 8, 8, 8, 7, 7, 10]"
goldfish leash,1,0.88,[1],"[0.5, 1, 1, 1]"
gourmet dragon claw,2.94,4.04,"[3, 1, 4, 2, 2, 2, 3, 2, 5, 3, 4, 3, 3, 4, 3, 4, 2]","[4, 4, 4, 6, 3, 5, 4, 4, 4, 3, 5, 3, 4, 2, 5, 4, 2, 4, 4, 4, 4, 5, 3, 6, 5, 3, 3, 4, 4, 3, 3, 6, 3, 4, 4, 4, 6, 5, 4, 4, 3, 7, 3, 5, 4, 4, 3, 3, 4, 4, 4, 4, 6, 5, 3, 4, 3]"
green dragon mask,N/A,N/A,N/A,N/A
green floaty balloon,37.5,40,"[40, 35]","[40, 40, 40, 40]"
green pet apatoceratops,N/A,N/A,N/A,N/A
green pet apatodon,N/A,10,N/A,[10]
green pet apatos rex,N/A,4,N/A,"[5, 4, 3]"
green pet apatosaurus,N/A,4.2,N/A,"[4, 5, 4, 6, 2]"
green pet pteranodon,4,N/A,[4],N/A
green pet pteranus rex,N/A,67.36,N/A,"[11, 11, 300, 5, 20, 20, 11, 13, 500, 12, 10, 10, 10, 10]"
green pet pteratops,N/A,N/A,N/A,N/A
green pet pterosaurus,N/A,7.33,N/A,"[8, 8, 6]"
green pet triceradon,5,15,[5],"[15, 15]"
green pet triceratops,N/A,4.5,N/A,"[3, 3, 10, 4, 4, 3]"
green pet tricerus rex,N/A,7,N/A,"[6, 8]"
green pet tripatosaurus,N/A,3.56,N/A,"[3, 3, 3, 7, 4, 3, 3, 3, 3]"
green pet tyrannosaurus,N/A,N/A,N/A,N/A
green pet tyranodon,N/A,N/A,N/A,N/A
green pet tyranopatos,N/A,12.29,N/A,"[20, 3, 10, 10, 20, 20, 20, 20, 10, 3, 3, 20, 10, 3]"
green pet tyranotops,N/A,2,N/A,"[2, 2, 2]"
grey pet apatoceratops,N/A,N/A,N/A,N/A
grey pet apatodon,N/A,4.25,N/A,"[8, 2, 5, 2]"
grey pet apatos rex,N/A,3,N/A,[3]
grey pet apatosaurus,N/A,3.43,N/A,"[5, 5, 2, 4, 2, 4, 2]"
grey pet pteranodon,6,N/A,"[6, 6]",N/A
grey pet pteranus rex,N/A,10.93,N/A,"[10, 13, 15, 5, 5, 10, 10, 5, 5, 11, 15, 8, 4, 15, 15, 10, 10, 15, 12, 13, 15, 13, 13, 6, 15, 10, 11, 15, 14, 10]"
grey pet pteratops,N/A,N/A,N/A,N/A
grey pet pterosaurus,N/A,N/A,N/A,N/A
grey pet triceradon,N/A,5,N/A,[5]
grey pet triceratops,20,6.63,[20],"[15, 10, 5, 5, 5, 10, 4, 7, 1, 4, 5, 10, 6, 4, 3, 5, 10, 3, 14]"
grey pet tricerus rex,N/A,4,N/A,[4]
grey pet tripatosaurus,N/A,N/A,N/A,N/A
grey pet tyrannosaurus,N/A,N/A,N/A,N/A
grey pet tyranodon,N/A,3,N/A,[3]
grey pet tyranopatos,N/A,3.62,N/A,"[6, 3, 2, 3, 2, 4, 4, 4, 2, 4, 6, 2, 5]"
grey pet tyranotops,N/A,N/A,N/A,N/A
growtronic food replicator,N/A,597.29,N/A,"[550, 7, 800, 5, 780, 600, 750, 750, 800, 520, 850, 600, 750, 600]"
grumpy pet pineapple,N/A,144.25,N/A,"[130, 150, 160, 160, 135, 170, 150, 130, 130, 150, 150, 100, 140, 130, 145, 178]"
haunted pants,N/A,3,N/A,"[3, 3, 5, 5, 1, 3, 4, 3, 3, 2, 2, 4, 2, 2, 4, 3, 2]"
haunted synthoid,9,10.94,[9],"[10, 13, 13, 13, 10, 9, 9, 10, 7, 10, 10, 15, 12, 10, 9, 13, 13]"
hermit crab leash,15,32.83,[15],"[23, 25, 59, 29, 30, 26, 25, 20, 40, 40, 39, 30, 60, 30, 40, 30, 30, 15]"
hilarious honker,10.75,15.09,"[11, 11, 11, 10]","[18, 18, 15, 8, 15, 13, 14, 17, 17, 10, 10, 10, 18, 18, 16, 15, 15, 18, 10, 15, 16, 11, 12, 11, 16, 16, 16, 15, 30, 25, 17, 11, 15, 20, 10, 25, 12, 11, 13, 17, 16, 18, 15, 12, 8, 16, 11, 12, 17, 14, 14, 20, 18, 15]"
home made butter lamb,240,284.06,[240],"[270, 270, 270, 280, 350, 285, 285, 260, 240, 285, 285, 285, 340, 270, 270, 300]"
hotpants,N/A,5,N/A,[5]
hovernator drone - black,N/A,N/A,N/A,N/A
hovernator drone - golden,N/A,N/A,N/A,N/A
hovernator drone - red,N/A,N/A,N/A,N/A
hovernator drone - white,N/A,2,N/A,[2]
huginn and muninn - odin's ravens,N/A,N/A,N/A,N/A
ice calf leash,1.86,2.53,"[2, 2, 3, 1, 3, 1, 1]","[3, 3, 2, 1, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 4, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 2, 3, 3]"
ice dragon hand,54.33,99.63,"[80, 3, 80]","[75, 1, 80, 120, 120, 110, 105, 75, 110, 105, 105, 130, 90, 120, 120, 120, 130, 85, 110, 90, 90, 50, 130, 80, 120, 90, 130, 130, 120, 120, 130, 130, 95, 110, 80, 85, 3, 3, 100, 80, 80, 75, 120, 85, 110, 85, 110, 125, 125, 120, 79, 105, 120, 90, 125, 120, 95, 95, 83, 75, 100, 95, 130, 85, 95, 90, 110, 130, 110, 135, 115, 130, 80, 110, 130, 120, 90, 75, 120, 120, 80, 50, 85, 85, 85, 90, 120, 85, 85, 120, 130, 82]"
irish wolfhound,9.33,10.91,"[8, 10, 8, 10, 10, 10]","[11, 13, 15, 15, 12, 13, 13, 15, 2, 15, 10, 8, 3, 11, 10, 13, 12, 11, 10, 12, 8, 10, 8, 10, 10, 8, 15, 15, 8, 12, 9, 8, 16, 10]"
jackbowe's koala,230,234.62,[230],"[210, 230, 220, 220, 220, 220, 220, 180, 220, 270, 230, 220, 220, 300, 210, 250, 235, 285, 285, 230, 200, 220, 220, 335, 240, 210]"
jin chan leash,N/A,2.61,N/A,"[4, 2, 5, 3, 5, 3, 5, 3, 2, 2, 1, 2, 2, 2, 3, 3, 3, 3, 2, 0.5, 2, 2, 3, 2, 3, 2, 1, 3, 3, 2, 3, 2, 2, 3, 3, 3, 2]"
king of hearts,27.5,19.11,"[30, 30, 30, 30, 30, 15]","[18, 22, 17, 20, 20, 17, 22, 22, 20, 20, 25, 22, 20, 20, 20, 10, 15, 20, 18, 25, 15, 18, 17, 15, 20, 15, 16, 20, 25, 21, 18, 20, 21, 30, 15, 25, 18, 20, 16, 10, 10, 30, 15, 8, 15, 22, 30]"
kite,N/A,19.38,N/A,"[21, 21, 30, 25, 3, 3, 2, 35, 20, 20, 18, 22, 25, 15, 20, 18, 20, 25, 21, 21, 22]"
koi fish leash,N/A,19.71,N/A,"[15, 15, 42, 35, 10, 10, 3, 2, 35, 10, 20, 15, 10, 10, 8, 10, 3, 10, 8, 35, 35, 2, 35, 45, 15, 35, 8, 10, 10, 10, 35, 30, 15, 35, 8, 10, 45, 8, 10, 35, 8, 35, 35, 20, 10, 32, 8, 45, 10, 45, 15, 45, 4, 7, 10, 15, 10, 10, 45, 8, 15, 35, 10, 45, 10, 15, 8, 8, 8, 35, 20, 35, 15, 43, 10, 35, 15, 8, 15, 8, 15, 8, 45, 15, 10, 35, 35]"
ladybug leaf,N/A,2.09,N/A,"[3, 2, 2, 1, 2, 1, 2, 1, 5, 0.5, 1, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 2, 1, 1, 3, 4, 1, 1, 2, 2, 2, 2, 1, 1, 2, 5, 1]"
leashed silkworm - aqua,29,35,[29],[35]
leashed silkworm - black,30,28.88,[30],"[28, 32, 28, 30, 30, 28, 28, 28, 28, 28, 29, 31, 29, 29, 29, 28, 29, 28, 30, 28, 27, 30, 30, 28]"
leashed silkworm - blue,N/A,N/A,N/A,N/A
leashed silkworm - green,N/A,31,N/A,"[33, 30, 30]"
leashed silkworm - grey,29.33,29,"[26, 30, 32]","[31, 25, 32, 30, 30, 28, 28, 28, 29, 31, 29, 29, 28, 28, 28, 29, 32, 28, 28, 28, 30]"
leashed silkworm - purple,N/A,29.57,N/A,"[28, 30, 30, 29, 30, 30, 30]"
leashed silkworm - red,30,29.29,[30],"[28, 30, 30, 29, 29, 29, 30]"
leashed silkworm - white,N/A,28.46,N/A,"[28, 28, 30, 28, 30, 28, 28, 28, 28, 30, 29, 25, 30]"
leashed silkworm - yellow,N/A,25.33,N/A,"[25, 25, 28, 20, 29, 25]"
legendary owl,N/A,N/A,N/A,N/A
lil' sheepers,415.38,543.52,"[520, 5, 550, 450, 540, 500, 460, 540, 5, 460, 470, 450, 450]","[600, 525, 550, 550, 550, 600, 490, 600, 520, 520, 550, 565, 550, 530, 580, 550, 515, 520, 550, 530, 570, 500, 530, 560, 525, 500, 570, 520, 580, 560, 500, 540, 600, 580, 550, 560, 570, 560, 550, 550, 540, 560, 560, 560, 525, 575, 525, 600, 560, 560, 600, 480, 530, 530, 560, 600, 550, 520, 550, 540, 540, 570, 420, 420, 545, 580, 550, 510, 560, 500, 550, 550, 480, 540, 525, 570, 600, 550, 550, 530, 530, 500, 530, 510, 600, 570, 570, 580, 580, 480, 570, 525, 530, 570, 550, 530, 600, 530, 580, 540, 520, 480, 560, 500, 500, 530, 525, 525]"
lion taming whip,6.88,9.47,"[8, 8, 11, 5, 10, 5, 8, 10, 5, 5, 10, 1, 4, 11, 5, 4]","[2, 20, 20, 5, 8, 8, 20, 8, 5, 5, 10, 18, 15, 15, 4, 4, 15, 5, 20, 10, 5, 10, 10, 2, 8, 4, 6, 17, 5, 4, 7, 8]"
living dead remote,212.86,243.33,"[210, 220, 220, 180, 240, 180, 240]","[300, 220, 260, 240, 275, 275, 200, 200, 220]"
lobster leash,N/A,16,N/A,"[13, 15, 18, 18, 15, 17]"
lovebird pendant,1,2.81,[1],"[3, 3, 3, 1, 2, 2, 3, 2, 2, 3, 4, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 4, 2, 2, 2, 4, 2, 3, 3, 2, 2, 4, 3, 2, 3, 2, 4, 2, 2, 3, 3, 3, 2, 3, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 1, 2, 4, 3, 3, 3, 2, 2, 4, 4, 3, 2, 2, 2, 2, 4, 3, 4, 3, 5, 4, 3, 4, 3, 4, 2, 3, 3, 4, 2, 4, 3, 3, 3]"
lucky pendant,48,N/A,[48],N/A
magic reindeer bell,650,616.25,"[750, 550]","[530, 550, 550, 700, 700, 650, 700, 550]"
magical carrot,19.38,N/A,"[18, 18, 18, 23, 20, 22, 19, 17]",N/A
magnifying glass,14,19.54,"[2, 20, 20]","[15, 3, 3, 17, 3, 25, 15, 30, 7, 7, 7, 7, 3, 3, 12, 20, 25, 20, 14, 15, 20, 25, 31, 25, 20, 15, 25, 15, 3, 25, 30, 23, 10, 10, 25, 25, 15, 25, 12, 4, 35, 14, 23, 25, 30, 20, 15, 25, 20, 45, 20, 20, 25, 20, 14, 30, 16, 20, 20, 10, 13, 35, 25, 30, 30, 13, 25, 29, 13, 18, 25, 20, 13, 29, 30, 18, 25, 25, 25, 30, 25, 20, 25]"
mahi mahi leash,N/A,N/A,N/A,N/A
maidmare,0,1.07,[0.002],"[1, 0.5, 2, 1, 0.5, 1, 1, 0.5, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 0.5, 0.3333333333333333, 1, 0.5, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 0.5, 1, 0.5, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 0.5, 1]"
man u cleats,N/A,3.67,N/A,"[3, 3, 5]"
marshmallow basket,356.67,495,"[350, 380, 400, 350, 340, 360, 350, 350, 330]","[500, 500, 500, 450, 550, 520, 380, 550, 600, 370, 400, 500, 600, 520, 520, 520, 430, 500]"
mechanical butler,195.83,273.39,"[170, 230, 175, 170, 170, 260]","[280, 150, 270, 310, 260, 300, 300, 290, 290, 285, 290, 275, 170, 170, 280, 275, 350, 285, 285, 265, 280, 280, 290, 290, 280, 270, 285, 300]"
mickeymay leash,298.89,311.91,"[300, 300, 300, 300, 310, 290, 280, 310, 300]","[315, 310, 315, 320, 307, 315, 300, 340, 309, 300, 300, 300, 330, 320, 310, 325, 325, 295, 330, 320, 315, 320, 300, 310, 300, 315, 300, 320, 320, 310, 330, 315, 325, 315, 320, 310, 310, 300, 325, 310, 310, 295, 300, 320, 310, 320, 300, 310, 300, 305, 325, 300, 310, 300, 320, 300, 320, 330, 320, 320, 305, 305, 310, 300, 300, 300, 300, 305, 325, 300, 310, 305, 330, 325, 305, 290, 300, 309, 330, 320, 300, 318, 310, 350, 310, 330, 320, 310, 300, 340, 320, 310, 300, 310, 315, 315, 290, 310, 300, 300, 300]"
mid-pacific owl,17,12.62,"[17, 17]","[30, 6, 10, 8, 25, 9, 6, 17, 8, 6, 10, 20, 7, 10, 10, 20]"
mini growtopian,3.81,4.9,"[1, 4, 4, 4, 5, 3, 3, 4, 4, 4, 2, 2, 3, 4, 5, 5, 5, 5, 5, 2, 3, 3, 5, 3, 5, 4, 5, 5, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 5, 4, 6, 3, 4, 5, 3, 6, 3, 3, 5, 5, 5, 4, 3, 1, 5, 5, 2]","[5, 5, 5, 4, 4, 7, 8, 4, 5, 8, 8, 4, 3, 7, 7, 4, 4, 4, 8, 5, 7, 3, 3, 5, 3, 4, 2, 4, 5, 5, 5, 5, 4, 6, 5, 5, 4, 4, 5, 4, 5, 5, 4, 6, 5, 1, 6, 3, 6, 5, 5, 6, 3, 6, 6, 5, 6, 7, 6, 5, 5, 4, 10, 5, 5, 3, 6, 4, 4, 6, 5, 6, 8, 4, 5, 5, 6, 4, 5, 5, 3, 4, 6, 8, 5, 8, 8, 5, 5, 5, 4, 6, 5, 3, 4, 4, 5, 5, 5, 5, 2, 5, 5, 4, 7, 6, 6, 4, 4, 4, 5, 4, 5, 10, 7, 3, 4, 10, 4, 3, 3, 4, 7, 6, 5, 5, 3, 4, 3, 3, 4, 6, 4, 4, 5, 6, 4, 4, 7, 8, 4, 7, 6, 5, 2, 8, 3, 4, 5, 5, 3, 3, 4, 4, 5, 6, 5, 6, 3, 3, 5, 5, 8, 6, 2, 4, 4, 4, 3, 6, 7, 7, 4, 4, 5, 5, 4, 5, 5, 5, 2, 10, 3, 3, 10, 5, 5, 5, 3, 7, 5, 3, 3, 4, 6, 3, 2, 5, 4, 6, 4, 4, 4, 4, 8, 4, 5, 4, 3, 4]"
mini mallard,N/A,808.52,N/A,"[50, 42, 4050, 38, 4040, 40, 4100, 40, 41, 41, 43, 50, 50, 43, 40, 50, 40, 40, 50, 4050, 41]"
mini mammoth leash,15,30.64,[15],"[30, 30, 25, 20, 20, 20, 26, 34, 34, 30, 32, 34, 34, 30, 30, 35, 35, 32, 40, 25, 32, 45, 30, 30, 33]"
mini-peng,N/A,1,N/A,"[1, 1]"
mini-you,N/A,N/A,N/A,N/A
moose cap,3.89,6.83,"[3, 4, 2, 5, 6, 5, 4, 3, 7, 3, 3, 3, 5, 3, 5, 2, 4, 2, 5]","[8, 3, 5, 8, 2, 7, 5, 4, 2, 7, 3, 5, 7, 7, 17, 7, 6, 3, 8, 6, 13, 8, 10, 6, 7, 16, 7, 6, 6, 6]"
mr. narwhal leash,N/A,3.5,N/A,"[3, 3, 3, 6, 5, 5, 4, 3, 3, 4, 3, 5, 3, 3, 3, 3, 3, 4, 5, 3, 3, 1, 3, 3, 3, 5, 3, 3]"
muddy pants,848.57,868.17,"[1050, 950, 950, 1030, 950, 10, 1000]","[11, 12, 1050, 10, 935, 1140, 1180, 1180, 930, 12, 1150, 1140, 900, 1160, 1160, 1150, 1130, 1160, 1140, 11, 1125, 1100, 900, 1150]"
my pet sputnik,N/A,24,N/A,"[18, 20, 30, 27, 22, 27, 25, 20, 25, 25, 25, 20, 25, 25, 25, 25]"
mysterious synthoid,N/A,96.3,N/A,"[100, 105, 100, 85, 105, 88, 100, 80, 80, 120]"
nano nurse bot,390,394.74,"[390, 390]","[330, 330, 410, 460, 420, 380, 335, 470, 350, 350, 420, 475, 400, 400, 400, 400, 350, 420, 400]"
nekorei's fluffy micio,N/A,N/A,N/A,N/A
nightmare magnifying glass,N/A,3.34,N/A,"[3, 3, 4, 4, 4, 5, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 5, 2, 5, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 4, 3, 2, 4, 5, 2, 3, 2, 3, 3, 3, 3, 5, 4, 4, 2, 3, 2, 4, 4, 5, 3, 4, 4]"
onisim's genie,N/A,400,N/A,"[15, 20, 1550, 15]"
owlbeard,N/A,N/A,N/A,N/A
panda leash,263.91,311.06,"[350, 280, 260, 280, 4, 350, 4, 260, 300, 250, 310, 250, 3, 290, 430, 320, 460, 300, 270, 285, 270, 280]","[325, 295, 500, 265, 315, 280, 310, 355, 360, 360, 300, 350, 280, 320, 280, 270, 280, 290, 325, 275, 280, 310, 280, 320, 300, 290, 330, 310, 320, 430, 325, 320, 290, 280, 290, 320, 295, 350, 280, 290, 300, 300, 290, 320, 280, 305, 280, 295, 300, 320, 310, 450, 275, 260, 290, 290, 275, 295, 285, 500, 265, 300, 275, 280, 460, 260, 260, 320, 275, 330, 280, 240, 350, 275, 255, 290, 275, 280, 270, 320, 320, 275, 330, 320, 270, 500, 315, 280, 280, 310, 300, 300, 280, 450, 300, 300, 280, 450, 285, 280, 450, 300, 275, 275]"
parrot dude,30.56,37.5,"[25, 35, 25, 25, 35, 35, 35, 35, 25]","[40, 35, 50, 50, 35, 40, 30, 33, 25, 40, 30, 30, 65, 30, 25, 35, 40, 34, 50, 75, 30, 35, 40, 35, 38, 27, 35, 35, 35, 38, 35, 40, 25, 35]"
party fowl,20,N/A,[20],N/A
pegasus,64.5,103,"[10, 230, 8, 10]","[25, 170, 9, 170, 0.1, 170, 175, 270, 270, 220, 150, 8, 9, 177, 170, 10, 160, 6, 8, 13, 170, 10, 15, 15, 175]"
penguin leash,10.5,12.49,"[10, 11, 11, 10]","[8, 15, 15, 10, 10, 15, 12, 15, 15, 13, 9, 10, 10, 10, 12, 11, 10, 10, 25, 12, 12, 9, 13, 10, 10, 10, 10, 20, 10, 18, 18, 10, 15, 15, 15, 11, 10, 13, 10, 25, 20, 20, 8, 15, 9, 8, 12, 10, 20, 10, 13, 14, 12, 10, 9, 11, 11, 11, 9, 10, 10, 10, 15, 10, 17, 9, 15, 10]"
perilous pirate ship,70,134.09,[70],"[145, 100, 105, 105, 150, 180, 180, 180, 85, 160, 85]"
personal storm cloud,260,308.64,"[260, 260]","[240, 240, 100, 100, 400, 255, 415, 230, 100, 370, 440, 260, 405, 405, 450, 255, 410, 420, 360, 300, 375, 260]"
pet bunny,22.5,25.39,"[25, 20]","[30, 24, 25, 27, 25, 25, 25, 25, 27, 35, 27, 30, 30, 20, 20, 20, 24, 30, 27, 26, 25, 24, 20, 23, 15, 25, 25, 27, 22, 30, 20, 15, 30, 27, 20, 35, 30, 18, 23, 29, 25, 23, 28, 30, 25, 30, 25, 23, 30, 25, 30, 25, 25, 30, 30, 25, 23, 23, 18]"
pet burrito,2,2.77,"[2, 2, 2]","[4, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 1.4, 3, 3, 3, 3, 3, 4, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1.3, 3, 2, 2, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3]"
pet egg,63.33,77.62,"[60, 70, 60]","[60, 75, 90, 70, 80, 70, 75, 70, 70, 67, 75, 75, 100, 110, 75, 80]"
pet fox,756.33,771.98,"[900, 1360, 9]","[1000, 12, 1040, 860, 900, 910, 810, 9, 1050, 1050, 11, 910, 825, 900, 950, 850, 1250, 1300, 980, 9, 865, 915, 1400, 1160, 900, 900, 1200, 1120, 1120, 850, 870, 1120, 10, 13, 800, 1010, 870, 10, 900, 10, 850, 880, 10, 10, 830, 900, 920, 870, 835, 825]"
pet frog,1.06,1.05,"[0.04, 0.5, 0.5, 0.3333333333333333, 2, 3, 3, 2, 0.2, 0.2, 0.5, 1, 0.5]","[0.5, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 1, 1, 1, 0.5, 0.5, 0.25, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 0.5, 1, 1, 0.5, 0.5, 0.5, 1, 2, 0.3333333333333333, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0.5, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 1, 1, 2, 1, 0.5, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 0.5, 0.5, 0.5, 1, 2, 1, 0.5, 0.5, 1, 2, 0.5, 1, 0.5, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 0.5, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0.5, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0.5, 1, 1, 1, 2, 0.8333333333333334, 1, 1, 0.5, 1, 2, 1, 1, 0.5, 0.5, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 0.5, 2, 2, 0.5, 1, 1, 2, 2, 0.5, 0.5, 1, 2, 2, 0.6666666666666666, 1, 1, 1, 1, 0.5, 2, 0.5, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 2, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 0.5, 1, 1, 1, 1, 1, 1, 2, 0.5, 2, 1, 0.3333333333333333, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 0.7, 1, 1, 1, 0.5, 0.5, 0.5, 0.25, 2, 0.3333333333333333, 2, 1, 2, 0.5, 1, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 2, 0.5, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 0.25, 0.25, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 0.5, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 4, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 0.2, 2, 1, 1, 1, 1, 0.5, 0.5, 0.3333333333333333, 1, 1, 1, 1, 1, 0.5, 0.5, 0.5, 0.5, 0.5, 1, 0.3333333333333333, 2, 1, 1, 1, 1]"
